,Acquisition probability,Rpure weights,Rlure weights,Loss
0,0.009900990099009901,1.188118811881188,1.0,0.003067635072865901
1,0.900990099009901,0.1892068327711892,0.1908991008991009,1.5647524855606636
2,0.900990099009901,0.1793058426721793,0.18273563171522356,0.34487166909706535
3,0.900990099009901,0.1694048525731694,0.17440575414486625,1.4702554732823323
4,0.0009900990099009901,10.148514851485148,8.941688144329898,0.004941666955731172
5,0.900990099009901,0.1496028723751496,0.157225997686524,0.5957302574965644
6,0.900990099009901,0.1397018822761397,0.14836518464737947,1.3494357450533334
7,0.900990099009901,0.12980089217712978,0.1393160717114046,0.6543478865198773
8,0.0009900990099009901,10.108910891089108,9.681276297335204,0.004941666955731172
9,0.900990099009901,0.10999891197911,0.12062841601780927,0.874186847181431
10,0.900990099009901,0.1000979218801001,0.11097693515275919,0.7450690224948282
11,0.0009900990099009901,10.07920792079208,10.303370786516854,0.004941666955731172
12,0.900990099009901,0.0802959416820803,0.091024144394931,0.7565493569618638
13,0.900990099009901,0.0703949515830704,0.08070808501842985,0.7007752435305393
14,0.900990099009901,0.0604939614840605,0.0701551856323307,0.2784197971781115
15,0.900990099009901,0.050592971385050596,0.059357195472106494,0.004941666955731172
16,0.900990099009901,0.04069198128604069,0.04830547603656843,0.004941666955731172
17,0.900990099009901,0.03079099118703079,0.03699097804089191,0.0020278209297116575
18,0.0009900990099009901,10.009900990099009,12.032471348809874,0.004941666955731172
19,0.900990099009901,0.01098901098901099,0.013535245242562333,0.020404806996248442
